,diff,lag_1,lag_2,lag_3,lag_4,lag_5,Extreme Fear,Extreme Greed,Fear,Greed,Neutral,feargreed
329,-155.60000000000036,-64.79999999999927,147.6999999999989,-83.0,48.30000000000109,39.100000000000364,0,0,1,0,0,45
330,-48.20000000000073,-155.60000000000036,-64.79999999999927,147.6999999999989,-83.0,48.30000000000109,0,0,1,0,0,41
331,-28.099999999998545,-48.20000000000073,-155.60000000000036,-64.79999999999927,147.6999999999989,-83.0,0,0,1,0,0,40
332,128.6999999999989,-28.099999999998545,-48.20000000000073,-155.60000000000036,-64.79999999999927,147.6999999999989,0,0,1,0,0,42
333,116.60000000000036,128.6999999999989,-28.099999999998545,-48.20000000000073,-155.60000000000036,-64.79999999999927,0,0,1,0,0,42
334,-186.89999999999964,116.60000000000036,128.6999999999989,-28.099999999998545,-48.20000000000073,-155.60000000000036,0,0,0,0,1,47
335,68.29999999999927,-186.89999999999964,116.60000000000036,128.6999999999989,-28.099999999998545,-48.20000000000073,0,0,1,0,0,43
336,253.20000000000073,68.29999999999927,-186.89999999999964,116.60000000000036,128.6999999999989,-28.099999999998545,0,0,1,0,0,46
337,130.10000000000036,253.20000000000073,68.29999999999927,-186.89999999999964,116.60000000000036,128.6999999999989,0,0,0,0,1,48
338,244.1999999999989,130.10000000000036,253.20000000000073,68.29999999999927,-186.89999999999964,116.60000000000036,0,0,0,0,1,53
339,72.60000000000036,244.1999999999989,130.10000000000036,253.20000000000073,68.29999999999927,-186.89999999999964,0,0,0,1,0,55
340,162.89999999999964,72.60000000000036,244.1999999999989,130.10000000000036,253.20000000000073,68.29999999999927,0,0,0,0,1,52
341,-110.10000000000036,162.89999999999964,72.60000000000036,244.1999999999989,130.10000000000036,253.20000000000073,0,0,0,1,0,56
342,-3.399999999999636,-110.10000000000036,162.89999999999964,72.60000000000036,244.1999999999989,130.10000000000036,0,0,0,0,1,53
343,82.60000000000036,-3.399999999999636,-110.10000000000036,162.89999999999964,72.60000000000036,244.1999999999989,0,0,0,1,0,56
344,-181.0,82.60000000000036,-3.399999999999636,-110.10000000000036,162.89999999999964,72.60000000000036,0,0,0,0,1,52
345,40.100000000000364,-181.0,82.60000000000036,-3.399999999999636,-110.10000000000036,162.89999999999964,0,0,0,1,0,56
346,144.79999999999927,40.100000000000364,-181.0,82.60000000000036,-3.399999999999636,-110.10000000000036,0,0,0,1,0,55
347,246.5,144.79999999999927,40.100000000000364,-181.0,82.60000000000036,-3.399999999999636,0,0,0,1,0,55
348,160.10000000000036,246.5,144.79999999999927,40.100000000000364,-181.0,82.60000000000036,0,0,0,1,0,56
349,895.2000000000007,160.10000000000036,246.5,144.79999999999927,40.100000000000364,-181.0,0,0,0,1,0,61
350,165.89999999999964,895.2000000000007,160.10000000000036,246.5,144.79999999999927,40.100000000000364,0,0,0,1,0,73
351,-40.5,165.89999999999964,895.2000000000007,160.10000000000036,246.5,144.79999999999927,0,0,0,1,0,74
352,183.10000000000036,-40.5,165.89999999999964,895.2000000000007,160.10000000000036,246.5,0,0,0,1,0,73
353,-85.0,183.10000000000036,-40.5,165.89999999999964,895.2000000000007,160.10000000000036,0,1,0,0,0,76
354,29.399999999999636,-85.0,183.10000000000036,-40.5,165.89999999999964,895.2000000000007,0,0,0,1,0,75
355,596.1999999999989,29.399999999999636,-85.0,183.10000000000036,-40.5,165.89999999999964,0,0,0,1,0,61
356,-378.89999999999964,596.1999999999989,29.399999999999636,-85.0,183.10000000000036,-40.5,0,0,0,1,0,70
357,178.3000000000011,-378.89999999999964,596.1999999999989,29.399999999999636,-85.0,183.10000000000036,0,0,0,1,0,67
358,102.69999999999891,178.3000000000011,-378.89999999999964,596.1999999999989,29.399999999999636,-85.0,0,0,0,1,0,74
359,237.39999999999964,102.69999999999891,178.3000000000011,-378.89999999999964,596.1999999999989,29.399999999999636,0,0,0,1,0,73
360,-37.899999999999636,237.39999999999964,102.69999999999891,178.3000000000011,-378.89999999999964,596.1999999999989,0,0,0,1,0,72
361,-198.0,-37.899999999999636,237.39999999999964,102.69999999999891,178.3000000000011,-378.89999999999964,0,0,0,1,0,71
362,458.5,-198.0,-37.899999999999636,237.39999999999964,102.69999999999891,178.3000000000011,0,0,0,1,0,71
363,125.70000000000073,458.5,-198.0,-37.899999999999636,237.39999999999964,102.69999999999891,0,0,0,1,0,74
364,1441.5,125.70000000000073,458.5,-198.0,-37.899999999999636,237.39999999999964,0,0,0,1,0,72
365,-9.200000000000728,1441.5,125.70000000000073,458.5,-198.0,-37.899999999999636,0,1,0,0,0,90
366,-749.5,-9.200000000000728,1441.5,125.70000000000073,458.5,-198.0,0,1,0,0,0,88
367,655.3000000000011,-749.5,-9.200000000000728,1441.5,125.70000000000073,458.5,0,1,0,0,0,82
368,-156.5,655.3000000000011,-749.5,-9.200000000000728,1441.5,125.70000000000073,0,1,0,0,0,90
369,-23.600000000000364,-156.5,655.3000000000011,-749.5,-9.200000000000728,1441.5,0,1,0,0,0,90
370,392.1999999999989,-23.600000000000364,-156.5,655.3000000000011,-749.5,-9.200000000000728,0,1,0,0,0,86
371,598.9000000000015,392.1999999999989,-23.600000000000364,-156.5,655.3000000000011,-749.5,0,1,0,0,0,87
372,29.5,598.9000000000015,392.1999999999989,-23.600000000000364,-156.5,655.3000000000011,0,1,0,0,0,89
373,-253.20000000000073,29.5,598.9000000000015,392.1999999999989,-23.600000000000364,-156.5,0,1,0,0,0,90
374,-118.0,-253.20000000000073,29.5,598.9000000000015,392.1999999999989,-23.600000000000364,0,1,0,0,0,86
375,762.7999999999993,-118.0,-253.20000000000073,29.5,598.9000000000015,392.1999999999989,0,1,0,0,0,90
376,946.5,762.7999999999993,-118.0,-253.20000000000073,29.5,598.9000000000015,0,1,0,0,0,86
377,112.29999999999927,946.5,762.7999999999993,-118.0,-253.20000000000073,29.5,0,1,0,0,0,91
378,28.900000000001455,112.29999999999927,946.5,762.7999999999993,-118.0,-253.20000000000073,0,1,0,0,0,94
379,871.7000000000007,28.900000000001455,112.29999999999927,946.5,762.7999999999993,-118.0,0,1,0,0,0,86
380,12.0,871.7000000000007,28.900000000001455,112.29999999999927,946.5,762.7999999999993,0,1,0,0,0,91
381,-274.2999999999993,12.0,871.7000000000007,28.900000000001455,112.29999999999927,946.5,0,1,0,0,0,94
382,-33.30000000000291,-274.2999999999993,12.0,871.7000000000007,28.900000000001455,112.29999999999927,0,1,0,0,0,90
383,773.0,-33.30000000000291,-274.2999999999993,12.0,871.7000000000007,28.900000000001455,0,1,0,0,0,88
384,-429.59999999999854,773.0,-33.30000000000291,-274.2999999999993,12.0,871.7000000000007,0,1,0,0,0,94
385,-1561.0,-429.59999999999854,773.0,-33.30000000000291,-274.2999999999993,12.0,0,1,0,0,0,93
386,-34.900000000001455,-1561.0,-429.59999999999854,773.0,-33.30000000000291,-274.2999999999993,0,1,0,0,0,86
387,603.6000000000022,-34.900000000001455,-1561.0,-429.59999999999854,773.0,-33.30000000000291,0,1,0,0,0,87
388,454.7999999999993,603.6000000000022,-34.900000000001455,-1561.0,-429.59999999999854,773.0,0,1,0,0,0,89
389,1512.5999999999985,454.7999999999993,603.6000000000022,-34.900000000001455,-1561.0,-429.59999999999854,0,1,0,0,0,88
390,-927.3999999999978,1512.5999999999985,454.7999999999993,603.6000000000022,-34.900000000001455,-1561.0,0,1,0,0,0,95
391,448.09999999999854,-927.3999999999978,1512.5999999999985,454.7999999999993,603.6000000000022,-34.900000000001455,0,1,0,0,0,92
392,214.5,448.09999999999854,-927.3999999999978,1512.5999999999985,454.7999999999993,603.6000000000022,0,1,0,0,0,92
393,-775.2000000000007,214.5,448.09999999999854,-927.3999999999978,1512.5999999999985,454.7999999999993,0,1,0,0,0,92
394,488.40000000000146,-775.2000000000007,214.5,448.09999999999854,-927.3999999999978,1512.5999999999985,0,1,0,0,0,93
395,233.40000000000146,488.40000000000146,-775.2000000000007,214.5,448.09999999999854,-927.3999999999978,0,1,0,0,0,95
396,-209.20000000000073,233.40000000000146,488.40000000000146,-775.2000000000007,214.5,448.09999999999854,0,1,0,0,0,94
397,-844.1000000000022,-209.20000000000073,233.40000000000146,488.40000000000146,-775.2000000000007,214.5,0,1,0,0,0,95
398,219.40000000000146,-844.1000000000022,-209.20000000000073,233.40000000000146,488.40000000000146,-775.2000000000007,0,1,0,0,0,86
399,-298.7999999999993,219.40000000000146,-844.1000000000022,-209.20000000000073,233.40000000000146,488.40000000000146,0,1,0,0,0,94
400,-223.60000000000218,-298.7999999999993,219.40000000000146,-844.1000000000022,-209.20000000000073,233.40000000000146,0,1,0,0,0,89
401,785.3000000000029,-223.60000000000218,-298.7999999999993,219.40000000000146,-844.1000000000022,-209.20000000000073,0,1,0,0,0,90
402,367.8999999999978,785.3000000000029,-223.60000000000218,-298.7999999999993,219.40000000000146,-844.1000000000022,0,1,0,0,0,91
403,97.0,367.8999999999978,785.3000000000029,-223.60000000000218,-298.7999999999993,219.40000000000146,0,1,0,0,0,95
404,161.10000000000218,97.0,367.8999999999978,785.3000000000029,-223.60000000000218,-298.7999999999993,0,1,0,0,0,91
405,1917.2999999999993,161.10000000000218,97.0,367.8999999999978,785.3000000000029,-223.60000000000218,0,1,0,0,0,92
406,1473.2000000000007,1917.2999999999993,161.10000000000218,97.0,367.8999999999978,785.3000000000029,0,1,0,0,0,92
407,302.5,1473.2000000000007,1917.2999999999993,161.10000000000218,97.0,367.8999999999978,0,1,0,0,0,95
408,716.0999999999985,302.5,1473.2000000000007,1917.2999999999993,161.10000000000218,97.0,0,1,0,0,0,93
409,-369.09999999999854,716.0999999999985,302.5,1473.2000000000007,1917.2999999999993,161.10000000000218,0,1,0,0,0,92
410,-746.4000000000015,-369.09999999999854,716.0999999999985,302.5,1473.2000000000007,1917.2999999999993,0,1,0,0,0,92
411,1094.7000000000007,-746.4000000000015,-369.09999999999854,716.0999999999985,302.5,1473.2000000000007,0,1,0,0,0,88
412,-565.2999999999993,1094.7000000000007,-746.4000000000015,-369.09999999999854,716.0999999999985,302.5,0,1,0,0,0,93
413,478.59999999999854,-565.2999999999993,1094.7000000000007,-746.4000000000015,-369.09999999999854,716.0999999999985,0,1,0,0,0,86
414,953.0999999999985,478.59999999999854,-565.2999999999993,1094.7000000000007,-746.4000000000015,-369.09999999999854,0,1,0,0,0,94
415,1764.800000000003,953.0999999999985,478.59999999999854,-565.2999999999993,1094.7000000000007,-746.4000000000015,0,1,0,0,0,93
416,-193.10000000000218,1764.800000000003,953.0999999999985,478.59999999999854,-565.2999999999993,1094.7000000000007,0,1,0,0,0,91
417,796.5,-193.10000000000218,1764.800000000003,953.0999999999985,478.59999999999854,-565.2999999999993,0,1,0,0,0,92
418,318.2000000000007,796.5,-193.10000000000218,1764.800000000003,953.0999999999985,478.59999999999854,0,1,0,0,0,91
419,1492.7000000000007,318.2000000000007,796.5,-193.10000000000218,1764.800000000003,953.0999999999985,0,1,0,0,0,91
420,80.70000000000073,1492.7000000000007,318.2000000000007,796.5,-193.10000000000218,1764.800000000003,0,1,0,0,0,95
421,410.5,80.70000000000073,1492.7000000000007,318.2000000000007,796.5,-193.10000000000218,0,1,0,0,0,94
422,2833.399999999998,410.5,80.70000000000073,1492.7000000000007,318.2000000000007,796.5,0,1,0,0,0,94
423,765.6000000000022,2833.399999999998,410.5,80.70000000000073,1492.7000000000007,318.2000000000007,0,1,0,0,0,93
424,-936.3000000000029,765.6000000000022,2833.399999999998,410.5,80.70000000000073,1492.7000000000007,0,1,0,0,0,94
425,1968.9000000000015,-936.3000000000029,765.6000000000022,2833.399999999998,410.5,80.70000000000073,0,1,0,0,0,93
426,2801.699999999997,1968.9000000000015,-936.3000000000029,765.6000000000022,2833.399999999998,410.5,0,1,0,0,0,95
